"ActivityNames" "SubjectID" "TimeBodyAcceleroMean.X" "TimeBodyAcceleroMean.Y" "TimeBodyAcceleroMean.Z" "TimeBodyAcceleroStdDev.X" "TimeBodyAcceleroStdDev.Y" "TimeBodyAcceleroStdDev.Z" "TimeGravityAcceleroMean.X" "TimeGravityAcceleroMean.Y" "TimeGravityAcceleroMean.Z" "TimeGravityAcceleroStdDev.X" "TimeGravityAcceleroStdDev.Y" "TimeGravityAcceleroStdDev.Z" "TimeBodyAcceleroJerkMean.X" "TimeBodyAcceleroJerkMean.Y" "TimeBodyAcceleroJerkMean.Z" "TimeBodyAcceleroJerkStdDev.X" "TimeBodyAcceleroJerkStdDev.Y" "TimeBodyAcceleroJerkStdDev.Z" "TimeBodyGyroMean.X" "TimeBodyGyroMean.Y" "TimeBodyGyroMean.Z" "TimeBodyGyroStdDev.X" "TimeBodyGyroStdDev.Y" "TimeBodyGyroStdDev.Z" "TimeBodyGyroJerkMean.X" "TimeBodyGyroJerkMean.Y" "TimeBodyGyroJerkMean.Z" "TimeBodyGyroJerkStdDev.X" "TimeBodyGyroJerkStdDev.Y" "TimeBodyGyroJerkStdDev.Z" "TimeBodyAcceleroMagMean" "TimeBodyAcceleroMagStdDev" "TimeGravityAcceleroMagMean" "TimeGravityAcceleroMagStdDev" "TimeGravityAcceleroJerkMagMean" "TimeGravityAcceleroJerkMagStdDev" "TimeBodyGyroMagMean" "TimeBodyGyroMagStdDev" "TimeBodyGyroJerkMagMean" "TimeBodyGyroJerkMagStdDev" "FreqBodyAcceleroMean.X" "FreqBodyAcceleroMean.Y" "FreqBodyAcceleroMean.Z" "FreqBodyAcceleroStdDev.X" "FreqBodyAcceleroStdDev.Y" "FreqBodyAcceleroStdDev.Z" "FreqBodyAcceleroJerkMean.X" "FreqBodyAcceleroJerkMean.Y" "FreqBodyAcceleroJerkMean.Z" "FreqBodyAcceleroJerkStdDev.X" "FreqBodyAcceleroJerkStdDev.Y" "FreqBodyAcceleroJerkStdDev.Z" "FreqBodyGyroMean.X" "FreqBodyGyroMean.Y" "FreqBodyGyroMean.Z" "FreqBodyGyroStdDev.X" "FreqBodyGyroStdDev.Y" "FreqBodyGyroStdDev.Z" "FreqBodyAcceleroMagMean" "FreqBodyAcceleroMagStdDev" "FreqBodyBodyAcceleroJerkMagMean" "FreqBodyBodyAcceleroJerkMagStdDev" "FreqBodyBodyGyroMagMean" "FreqBodyBodyGyroMagStdDev" "FreqBodyBodyGyroJerkMagMean" "FreqBodyBodyGyroJerkMagStdDev"
"WALKING" 11 0.27182189 -0.01664758 -0.1060963 -0.42284207 -0.05221208 -0.53062631 0.25405998 0.94646845 -0.21204587 0.13405322 -0.98110101 -0.96624055 0.19844214 0.08297093 0.01276825 -0.01336483 -0.42851634 -0.18141923 0.43386987 -0.0426929 -0.0705105 0.08437445 -0.59634693 -0.49962529 -0.13531354 -0.09182042 -0.05141725 -0.03426775 -0.5416164 -0.73799376 -0.03779759 -0.28832347 0.22676768 -0.28832347 0.22676768 -0.4023332 0.06531305 -0.42180167 0.00429279 -0.63073271 -0.15272715 -0.39653373 -0.08304784 -0.61640291 -0.43370331 -0.09660683 -0.96913549 -0.45326527 -0.24180173 -0.69259387 -0.45394304 -0.1701774 -0.97006019 -0.51475331 -0.5931074 -0.39829334 -0.62315027 -0.45366318 -0.97278995 -0.45851406 -0.78184266 -0.39511613 -0.47920211 -0.61022263 -0.72797402 -0.75191446
"WALKING" 12 0.27712867 -0.01556093 -0.10316111 -0.12889853 -0.12278329 -0.41060606 0.08859478 0.96687351 -0.15598345 -0.03608429 -0.97911312 -0.96461917 0.19868505 0.0457644 0.01977669 0.00502587 -0.01350661 -0.08940497 -0.07747294 -0.10451367 -0.03442911 0.09997391 -0.54626347 -0.4494014 0.21680101 -0.06223893 -0.0498526 -0.04673382 -0.39080724 -0.58129069 0.07802039 -0.10220455 0.12717055 -0.10220455 0.12717055 -0.14406492 0.15951541 -0.35593037 -0.12430094 -0.51749378 -0.00343971 -0.05435764 -0.07130246 -0.4223253 -0.16070726 -0.20851528 -0.91221356 -0.0816198 -0.14137407 -0.49138617 -0.03105929 -0.09405641 -0.92187645 -0.40197593 -0.46788634 -0.31728248 -0.59314288 -0.44379833 -0.92722981 -0.153116 -0.7556709 -0.02991243 -0.47622065 -0.44250378 -0.72418499 -0.56117644
"WALKING" 13 0.27588313 -0.01856607 -0.11143146 -0.34698039 0.14186669 -0.22050354 0.36646612 0.91085571 -0.28365858 -0.13129972 -0.97254492 -0.96089985 0.26627523 0.08095902 0.00308365 0.00597249 -0.22091007 0.05654888 0.41462841 -0.01742076 -0.07984725 0.07842056 -0.37605991 -0.29002355 0.00818964 -0.09665986 -0.03198493 -0.06366932 -0.21681207 -0.3577609 -0.30921152 -0.13564387 -0.20962435 -0.13564387 -0.20962435 -0.13320503 0.04346071 -0.21866956 0.0057126 -0.30350821 -0.0089539 -0.33503012 0.09551507 -0.24685151 -0.35329985 0.09219689 -0.89351671 -0.2904608 -0.04391951 -0.34226372 -0.21971616 0.09467416 -0.89806588 -0.19285647 -0.25621355 -0.27660795 -0.43571471 -0.31861851 -0.87993648 -0.23460087 -0.67983003 -0.1521115 0.05264391 -0.26747237 -0.59126269 -0.33852713
"WALKING" 14 0.2719596 -0.02177854 -0.10675637 -0.4026391 -0.05361267 0.0518841 -0.18090137 0.80297396 -0.27031482 -0.42249527 -0.97481688 -0.95445594 -0.48937028 0.07208779 0.02411602 0.0199723 -0.45449702 -0.34433957 -0.19758652 -0.00347655 -0.08296828 0.05132227 -0.60038822 -0.01483926 0.43644053 -0.11065605 -0.04389695 -0.03888259 -0.57175991 -0.5367377 0.18769034 -0.14440467 -0.09347988 -0.14440467 -0.09347988 -0.37729316 -0.17259997 -0.13720874 -0.07979707 -0.51989505 -0.04928318 -0.42149817 -0.17460184 -0.17736643 -0.39585999 -0.054271 -0.91891242 -0.47236062 -0.3767666 -0.41589918 -0.48479771 -0.35352689 -0.91624017 -0.50859585 -0.21589495 -0.21292576 -0.63008208 0.08329506 -0.97233868 -0.37351677 -0.63922362 -0.43159145 -0.1450387 -0.31138645 -0.52106313 -0.59103694
"WALKING" 15 0.27389921 -0.01708097 -0.10762182 -0.3279618 0.13891292 -0.51893263 0.07360584 0.95152439 -0.23391828 0.07573567 -0.97839729 -0.9710565 -0.02166573 0.08977707 0.00890589 0.00065871 -0.37321758 -0.03192655 0.05614476 -0.05548838 -0.06124279 0.08424849 -0.32962462 -0.42086501 0.15175358 -0.07766928 -0.05525366 -0.05109765 -0.28376799 -0.70240294 -0.00220493 -0.18651465 -0.00904811 -0.18651465 -0.00904811 -0.32012932 0.12836428 -0.24371112 -0.05342209 -0.5439795 -0.37358269 -0.31744092 0.1113211 -0.55494214 -0.33252063 0.08056462 -0.96942142 -0.39082199 -0.06693781 -0.64890525 -0.41150007 -0.06068391 -0.96705024 -0.25339936 -0.5354221 -0.46146407 -0.35763338 -0.36536121 -0.96712363 -0.27515624 -0.80796913 -0.28975395 -0.64478168 -0.48916638 -0.74548002 -0.64507518
"WALKING" 16 0.27602356 -0.02042869 -0.10880405 -0.40469252 -0.31456976 -0.15979979 0.03586694 0.92598133 -0.06682465 -0.21735119 -0.9824696 -0.97378484 -0.05790621 0.07702238 0.00968445 0.00360803 -0.39622374 -0.42556386 0.01055806 -0.01517219 -0.06959557 0.08186507 -0.65417185 -0.61259363 -0.05102576 -0.11091735 -0.04338768 -0.05329867 -0.67588972 -0.71223775 0.04655387 -0.25876669 -0.12274407 -0.25876669 -0.12274407 -0.36314448 0.04541891 -0.48593193 -0.12813644 -0.67154183 -0.12643014 -0.39479043 -0.32150067 -0.24436305 -0.40907049 -0.35437068 -0.92703476 -0.44140618 -0.45427082 -0.42233239 -0.40288412 -0.43361266 -0.93790298 -0.59574649 -0.61973193 -0.43288531 -0.67374114 -0.61194088 -0.98456876 -0.41046324 -0.83840849 -0.37827849 -0.59486786 -0.66922854 -0.77271595 -0.72068229
"WALKING" 17 0.27234186 -0.01848754 -0.10979212 -0.31950017 -0.01757979 -0.26582449 0.27103326 0.92811237 -0.17992738 -0.19026595 -0.98098335 -0.9686132 0.02871915 0.07731886 0.01300985 0.02437533 -0.35549264 -0.0935385 0.03043794 -0.00922266 -0.08397733 0.07571327 -0.47981351 -0.4549329 0.11459135 -0.10995924 -0.03792513 -0.05138072 -0.43129615 -0.56020349 -0.1586717 -0.15115149 -0.0368324 -0.15115149 -0.0368324 -0.30109327 0.03078252 -0.33500984 -0.04688798 -0.51716744 -0.00318887 -0.36099167 -0.06502676 -0.3828328 -0.30480627 -0.05561379 -0.9610118 -0.42344609 -0.19423272 -0.52342706 -0.34386613 -0.04703794 -0.96158235 -0.40771671 -0.49016629 -0.39880922 -0.50484929 -0.43923879 -0.96565749 -0.42938004 -0.75629979 -0.33593889 0.09660236 -0.51861806 -0.74764512 -0.58271186
"WALKING" 18 0.27388776 -0.01780236 -0.10421832 -0.37600552 -0.22700587 -0.42834806 0.28761341 0.92386525 -0.25431709 -0.06093134 -0.98301088 -0.97531166 -0.09551708 0.07675243 0.02827455 0.01068509 -0.36805691 -0.32015876 0.10380792 -0.03993997 -0.06137274 0.09447184 -0.70443978 -0.49643154 0.16729409 -0.09664353 -0.04337711 -0.05026316 -0.57813397 -0.69492579 0.16524964 -0.28790808 0.04343635 -0.28790808 0.04343635 -0.37926926 0.11562882 -0.50047115 -0.03268479 -0.6364859 -0.25483619 -0.37147516 -0.24360627 -0.48977105 -0.3780682 -0.26727364 -0.95095959 -0.41479715 -0.36190855 -0.60114725 -0.3759928 -0.32026411 -0.95420217 -0.60967343 -0.57089815 -0.53815234 -0.73490139 -0.46089066 -0.98617858 -0.42438673 -0.69991509 -0.41403775 -0.46206434 -0.62033139 -0.77985854 -0.71059631
"WALKING" 19 0.27393117 -0.01917736 -0.12273667 -0.04890494 0.18180156 -0.13947794 0.10241431 0.93522256 -0.2233381 -0.08984288 -0.96986146 -0.9586512 0.00119991 0.08222463 0.01441135 -0.03275287 0.11030673 0.08092712 -0.11024139 -0.0274971 -0.07515693 0.0798107 -0.0264358 -0.11440611 0.07229944 -0.08323533 -0.03071284 -0.0603092 0.08011865 -0.29159483 -0.19339401 0.06481734 -0.07188913 0.06481734 -0.07188913 0.10945099 0.19686884 0.10004507 0.04537377 -0.16469998 -0.08400155 -0.02998157 0.16925858 -0.10442336 -0.05788208 0.11261508 -0.66556169 0.0336381 0.01073187 -0.1293679 0.09083665 0.08540107 -0.68256169 0.22814236 -0.09735498 -0.01050471 -0.10838881 -0.13301029 -0.84365861 0.03222723 -0.81742329 0.07301799 -0.4377565 -0.09524605 -0.60898657 -0.26244282
"WALKING" 20 0.27258934 -0.02119999 -0.11353948 -0.20834279 0.48977181 -0.22873422 0.32456852 0.89996521 -0.34444391 -0.03513021 -0.97032727 -0.96200338 0.36352909 0.08412343 -0.02106196 0.00634457 -0.09064504 0.24431089 0.34193288 -0.02341042 -0.07410505 0.08513599 -0.23294061 0.08583215 0.21778726 -0.06799924 -0.05141758 -0.05492737 -0.25322745 -0.12755409 -0.0373081 0.03940228 -0.04370326 0.03940228 -0.04370326 -0.04293593 0.10978425 0.06862751 0.28159528 -0.19489325 0.18240367 -0.14740427 0.40346595 -0.27221386 -0.23498564 0.43843634 -0.87607805 -0.13871723 0.15793395 -0.34599448 -0.12223721 0.25561406 -0.87669328 -0.09362487 0.0310146 -0.1088925 -0.27993153 0.10770481 -0.91967143 -0.00353342 -0.90483538 0.05452695 -0.53746521 -0.05200656 -0.71330459 -0.18036534
"WALKING" 21 0.27918353 -0.01816103 -0.10431933 -0.29781484 0.05408805 -0.16868873 0.42391752 0.8625248 -0.37098455 -0.22094796 -0.96957636 -0.96414452 0.05742582 0.07822518 0.00235198 -0.01018134 -0.11488887 -0.03471439 0.2840426 -0.04593234 -0.05902944 0.09837159 -0.43223288 -0.39789232 0.55783566 -0.08687677 -0.05156503 -0.06211921 -0.23890831 -0.48285431 0.17475683 -0.12345566 0.30270277 -0.12345566 0.30270277 -0.14813899 0.31797157 -0.28477564 -0.12737266 -0.42693072 -0.03918967 -0.27349616 0.03384658 -0.30030907 -0.30854719 -0.00256294 -0.90525351 -0.20044201 -0.11256474 -0.40570016 -0.1074128 -0.01484152 -0.9092654 -0.24665738 -0.37174409 -0.28326247 -0.49185924 -0.41940088 -0.94546177 -0.25126639 -0.55884357 -0.14400989 0.33425424 -0.40951608 -0.62538202 -0.4995972
"WALKING" 22 0.27886459 -0.01672136 -0.10711251 -0.00865922 0.10038425 -0.21335197 0.37993577 0.93609641 -0.25964494 0.02337801 -0.96964345 -0.96363934 -0.05369521 0.06277776 0.03567463 0.00443691 0.03587871 0.22554229 0.32131302 0.00077716 -0.09608807 0.07752666 -0.31853787 -0.48632211 0.46116972 -0.13297756 -0.03219107 -0.05698125 -0.2266564 -0.65187547 -0.01117363 0.07224191 -0.31938712 0.07224191 -0.31938712 0.02291997 0.30196784 -0.21060804 -0.14873359 -0.46199953 0.17415681 -0.09949286 0.14536752 -0.25521651 0.02439582 0.00386841 -0.77878401 -0.03670471 0.15999561 -0.28197344 0.01800478 0.21342356 -0.78545132 -0.14464865 -0.5011769 -0.08350118 -0.37449632 -0.48162441 -0.80308987 -0.0241585 -0.80956234 0.06597273 0.10466069 -0.43837872 -0.59900906 -0.55394612
"WALKING" 23 0.27321188 -0.01836187 -0.11338299 -0.31352177 -0.11902059 0.16422069 0.41143809 0.93980969 -0.16176137 -0.16076336 -0.9772309 -0.96655071 0.31535002 0.09873191 0.01489559 -0.00190811 -0.22932812 -0.08050173 0.42451002 -0.06311569 -0.06401979 0.10770045 -0.49432265 0.25945723 0.08520092 -0.05781282 -0.05167048 -0.09030025 -0.36396943 0.29594593 -0.33200485 -0.09887702 -0.20893908 -0.09887702 -0.20893908 -0.06708197 -0.19918129 -0.01209683 0.10550724 0.01153054 -0.00723777 -0.27540419 -0.07243673 0.08140811 -0.32980728 -0.20252406 -0.83274298 -0.29041045 -0.15548872 -0.05720213 -0.23517299 -0.06097531 -0.83468177 -0.3376192 0.19556946 -0.19497037 -0.54505169 0.28658152 -0.93453217 -0.09426063 -0.81101197 -0.01807057 -0.48126397 0.18507821 -0.65582652 0.14661857
"WALKING" 24 0.27698082 -0.02254464 -0.11059595 -0.47076237 -0.1541275 -0.28884002 0.42863577 0.95970108 -0.11511624 -0.14091003 -0.9831324 -0.96257884 -0.06878879 0.0731939 0.01212546 -0.01164014 -0.48586326 -0.30222016 0.43771776 -0.05451269 -0.06584359 0.09720063 -0.58059737 -0.48716628 0.04705888 -0.06253117 -0.0502895 -0.07398355 -0.49077346 -0.51424657 -0.2434197 -0.29998361 0.13574369 -0.29998361 0.13574369 -0.3997222 0.06028001 -0.40306416 0.03091224 -0.50782475 0.04861273 -0.4924198 -0.20319374 -0.34449301 -0.46273364 -0.18276648 -0.94655136 -0.50962817 -0.35282931 -0.46992022 -0.50764073 -0.29435355 -0.950432 -0.46829508 -0.47984143 -0.39144792 -0.61691584 -0.49589627 -0.9784677 -0.43461891 -0.75832719 -0.41864105 -0.09647996 -0.53450916 -0.84971838 -0.57159439
"WALKING" 25 0.27899276 -0.01864776 -0.10873764 -0.59600744 -0.16185241 -0.4371334 0.02750816 0.93748311 -0.12731587 0.18841627 -0.97949926 -0.96509344 -0.17128418 0.07217207 0.00351115 -0.00335099 -0.60762093 -0.38261972 -0.19060545 -0.01563054 -0.08207681 0.08678687 -0.40115875 -0.6040321 -0.01452328 -0.10237727 -0.03989865 -0.05126962 -0.50795709 -0.79963538 -0.02187203 -0.40528943 0.0456619 -0.40528943 0.0456619 -0.53829142 -0.03067307 -0.3943624 -0.04251637 -0.67846607 -0.33489221 -0.60903891 -0.25188027 -0.53356322 -0.59144996 -0.1703138 -0.97821307 -0.62559538 -0.4344552 -0.65928639 -0.62414572 -0.3677601 -0.9790165 -0.41190972 -0.67875035 -0.56132295 -0.40667811 -0.56720128 -0.98858743 -0.56606002 -0.67879062 -0.56459134 0.19675635 -0.56273325 -0.76723346 -0.7703009
